dato,ansatt_id,vakt,avdeling
2024-01-01,EMP001,D1,Kirurgi
2024-01-02,EMP001,F,Kirurgi
2024-01-03,EMP001,D1,Kirurgi
2024-01-04,EMP001,D1,Kirurgi
2024-01-05,EMP001,D1,Kirurgi
2024-01-06,EMP001,N1,Kirurgi
2024-01-07,EMP001,A1,Kirurgi
2024-01-08,EMP001,D1,Kirurgi
2024-01-09,EMP001,F,Kirurgi
2024-01-10,EMP001,D1,Kirurgi
2024-01-11,EMP001,N1,Kirurgi
2024-01-12,EMP001,A1,Kirurgi
2024-01-13,EMP001,D2,Kirurgi
2024-01-14,EMP001,D1,Kirurgi
2024-01-15,EMP001,D1,Kirurgi
2024-01-16,EMP001,F,Kirurgi
2024-01-17,EMP001,A1,Kirurgi
2024-01-18,EMP001,D2,Kirurgi
2024-01-19,EMP001,D1,Kirurgi
2024-01-20,EMP001,N1,Kirurgi
2024-01-21,EMP001,D1,Kirurgi
2024-01-22,EMP001,D1,Kirurgi
2024-01-23,EMP001,N1,Kirurgi
2024-01-24,EMP001,D1,Kirurgi
2024-01-25,EMP001,D2,Kirurgi
2024-01-26,EMP001,D1,Kirurgi
2024-01-27,EMP001,D2,Kirurgi
2024-01-28,EMP001,D1,Kirurgi
2024-01-01,EMP002,D1,Kirurgi
2024-01-02,EMP002,N1,Kirurgi
2024-01-03,EMP002,D1,Kirurgi
2024-01-04,EMP002,D1,Kirurgi
2024-01-05,EMP002,N1,Kirurgi
2024-01-06,EMP002,D2,Kirurgi
2024-01-07,EMP002,N1,Kirurgi
2024-01-08,EMP002,D1,Kirurgi
2024-01-09,EMP002,A1,Kirurgi
2024-01-10,EMP002,D1,Kirurgi
2024-01-11,EMP002,D1,Kirurgi
2024-01-12,EMP002,D1,Kirurgi
2024-01-13,EMP002,D1,Kirurgi
2024-01-14,EMP002,A1,Kirurgi
2024-01-15,EMP002,D2,Kirurgi
2024-01-16,EMP002,D1,Kirurgi
2024-01-17,EMP002,F,Kirurgi
2024-01-18,EMP002,A1,Kirurgi
2024-01-19,EMP002,D1,Kirurgi
2024-01-20,EMP002,D1,Kirurgi
2024-01-21,EMP002,D2,Kirurgi
2024-01-22,EMP002,N1,Kirurgi
2024-01-23,EMP002,D2,Kirurgi
2024-01-24,EMP002,D2,Kirurgi
2024-01-25,EMP002,D1,Kirurgi
2024-01-26,EMP002,F,Kirurgi
2024-01-27,EMP002,D1,Kirurgi
2024-01-28,EMP002,N1,Kirurgi
2024-01-01,EMP003,D1,Kirurgi
2024-01-02,EMP003,D1,Kirurgi
2024-01-03,EMP003,D2,Kirurgi
2024-01-04,EMP003,A1,Kirurgi
2024-01-05,EMP003,D1,Kirurgi
2024-01-06,EMP003,F,Kirurgi
2024-01-07,EMP003,D1,Kirurgi
2024-01-08,EMP003,A1,Kirurgi
2024-01-09,EMP003,D1,Kirurgi
2024-01-10,EMP003,D2,Kirurgi
2024-01-11,EMP003,N1,Kirurgi
2024-01-12,EMP003,N1,Kirurgi
2024-01-13,EMP003,D2,Kirurgi
2024-01-14,EMP003,A1,Kirurgi
2024-01-15,EMP003,D1,Kirurgi
2024-01-16,EMP003,D1,Kirurgi
2024-01-17,EMP003,D1,Kirurgi
2024-01-18,EMP003,F,Kirurgi
2024-01-19,EMP003,D1,Kirurgi
2024-01-20,EMP003,A1,Kirurgi
2024-01-21,EMP003,D2,Kirurgi
2024-01-22,EMP003,N1,Kirurgi
2024-01-23,EMP003,D1,Kirurgi
2024-01-24,EMP003,F,Kirurgi
2024-01-25,EMP003,F,Kirurgi
2024-01-26,EMP003,D1,Kirurgi
2024-01-27,EMP003,N1,Kirurgi
2024-01-28,EMP003,D2,Kirurgi
2024-01-01,EMP004,D1,Kirurgi
2024-01-02,EMP004,D2,Kirurgi
2024-01-03,EMP004,D1,Kirurgi
2024-01-04,EMP004,A1,Kirurgi
2024-01-05,EMP004,F,Kirurgi
2024-01-06,EMP004,D1,Kirurgi
2024-01-07,EMP004,D1,Kirurgi
2024-01-08,EMP004,D1,Kirurgi
2024-01-09,EMP004,A1,Kirurgi
2024-01-10,EMP004,N1,Kirurgi
2024-01-11,EMP004,D1,Kirurgi
2024-01-12,EMP004,N1,Kirurgi
2024-01-13,EMP004,D1,Kirurgi
2024-01-14,EMP004,D1,Kirurgi
2024-01-15,EMP004,D2,Kirurgi
2024-01-16,EMP004,A1,Kirurgi
2024-01-17,EMP004,D2,Kirurgi
2024-01-18,EMP004,D1,Kirurgi
2024-01-19,EMP004,D1,Kirurgi
2024-01-20,EMP004,D2,Kirurgi
2024-01-21,EMP004,D1,Kirurgi
2024-01-22,EMP004,D1,Kirurgi
2024-01-23,EMP004,F,Kirurgi
2024-01-24,EMP004,D1,Kirurgi
2024-01-25,EMP004,D1,Kirurgi
2024-01-26,EMP004,A1,Kirurgi
2024-01-27,EMP004,N1,Kirurgi
2024-01-28,EMP004,D1,Kirurgi
2024-01-01,EMP005,N1,Kirurgi
2024-01-02,EMP005,D1,Kirurgi
2024-01-03,EMP005,D1,Kirurgi
2024-01-04,EMP005,N1,Kirurgi
2024-01-05,EMP005,F,Kirurgi
2024-01-06,EMP005,D1,Kirurgi
2024-01-07,EMP005,F,Kirurgi
2024-01-08,EMP005,F,Kirurgi
2024-01-09,EMP005,D2,Kirurgi
2024-01-10,EMP005,D2,Kirurgi
2024-01-11,EMP005,F,Kirurgi
2024-01-12,EMP005,F,Kirurgi
2024-01-13,EMP005,D2,Kirurgi
2024-01-14,EMP005,D1,Kirurgi
2024-01-15,EMP005,N1,Kirurgi
2024-01-16,EMP005,D1,Kirurgi
2024-01-17,EMP005,D1,Kirurgi
2024-01-18,EMP005,D2,Kirurgi
2024-01-19,EMP005,D1,Kirurgi
2024-01-20,EMP005,D2,Kirurgi
2024-01-21,EMP005,D2,Kirurgi
2024-01-22,EMP005,D1,Kirurgi
2024-01-23,EMP005,D1,Kirurgi
2024-01-24,EMP005,D1,Kirurgi
2024-01-25,EMP005,D1,Kirurgi
2024-01-26,EMP005,N1,Kirurgi
2024-01-27,EMP005,A1,Kirurgi
2024-01-28,EMP005,D1,Kirurgi
