dato,ansatt_id,vakt,avdeling
2024-01-01,EMP001,D1,Kirurgi
2024-01-02,EMP001,N1,Kirurgi
2024-01-03,EMP001,D1,Kirurgi
2024-01-04,EMP001,N1,Kirurgi
2024-01-05,EMP001,F,Kirurgi
2024-01-06,EMP001,F,Kirurgi
2024-01-07,EMP001,D1,Kirurgi
2024-01-08,EMP001,N1,Kirurgi
2024-01-09,EMP001,D1,Kirurgi
2024-01-10,EMP001,N1,Kirurgi
2024-01-11,EMP001,F,Kirurgi
2024-01-12,EMP001,F,Kirurgi
2024-01-13,EMP001,D1,Kirurgi
2024-01-14,EMP001,N1,Kirurgi
2024-01-01,EMP002,N1,Kirurgi
2024-01-02,EMP002,N1,Kirurgi
2024-01-03,EMP002,N1,Kirurgi
2024-01-04,EMP002,N1,Kirurgi
2024-01-05,EMP002,N1,Kirurgi
2024-01-06,EMP002,F,Kirurgi
2024-01-07,EMP002,F,Kirurgi
2024-01-08,EMP002,N1,Kirurgi
2024-01-09,EMP002,N1,Kirurgi
2024-01-10,EMP002,N1,Kirurgi
2024-01-11,EMP002,N1,Kirurgi
2024-01-12,EMP002,N1,Kirurgi
2024-01-13,EMP002,F,Kirurgi
2024-01-14,EMP002,F,Kirurgi
2024-01-01,EMP003,D1,Kirurgi
2024-01-02,EMP003,D1,Kirurgi
2024-01-03,EMP003,A1,Kirurgi
2024-01-04,EMP003,N1,Kirurgi
2024-01-05,EMP003,F,Kirurgi
2024-01-06,EMP003,F,Kirurgi
2024-01-07,EMP003,D1,Kirurgi
2024-01-08,EMP003,D1,Kirurgi
2024-01-09,EMP003,D1,Kirurgi
2024-01-10,EMP003,A1,Kirurgi
2024-01-11,EMP003,N1,Kirurgi
2024-01-12,EMP003,F,Kirurgi
2024-01-13,EMP003,F,Kirurgi
2024-01-14,EMP003,D1,Kirurgi
